Package,Released image installed version,Built Trixie installed version,Change,Review group,Review reference,Evidence/disposition
adduser,3.118+deb11u1,3.152,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
apt,2.2.4,3.0.3,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
avahi-daemon,0.8-5+deb11u3,0.8-16,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
avahi-utils,0.8-5+deb11u3,0.8-16,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
base-files,11.1+deb11u11,13.8+deb13u6,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
base-passwd,3.5.51,3.6.7,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
bash,5.1-2+deb11u1,5.2.37-2+b9,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
bind9,1:9.16.50-1~deb11u5,1:9.20.26-1~deb13u1,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
bind9-dnsutils,1:9.16.50-1~deb11u5,1:9.20.26-1~deb13u1,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
bind9-host,1:9.16.50-1~deb11u5,1:9.20.26-1~deb13u1,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
bind9-libs:amd64,1:9.16.50-1~deb11u5,1:9.20.26-1~deb13u1,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
bind9-utils,1:9.16.50-1~deb11u5,1:9.20.26-1~deb13u1,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
bsdutils,1:2.36.1-8+deb11u2,1:2.41-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
coreutils,8.32-4+b1,9.7-3,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
curl,7.74.0-1.3+deb11u15,8.14.1-2+deb13u4,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
dash,0.5.11+git20200708+dd9ef66-5,0.5.12-12,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
dbus,1.12.28-0+deb11u1,1.16.2-2,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
dbus-bin,,1.16.2-2,added,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
dbus-daemon,,1.16.2-2,added,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
dbus-session-bus-common,,1.16.2-2,added,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
