/sdk2026-cpc-recovery/generated/cmake_gcc/build/base/cpc_secondary_vcom_security_device_recovery.out  :
section                        size         addr
.vectors                        308        16384
.bootloader_reset_section         4    536870912
.stack                         4096    536870920
.bss                           3504    536875016
text_application_ram            472    536878520
.text                         63384        17168
.ARM.exidx                        8        80552
.copy.table                      12        80560
.zero.table                       0        80572
.data                           408    536878992
.memory_manager_heap          57048    536879400
.nvm                          40960   4294205440
.ARM.attributes                  54            0
.comment                         69            0
.debug_line_str                 653            0
.debug_info                  571595            0
.debug_abbrev                 70269            0
.debug_loclists              229356            0
.debug_aranges                13288            0
.debug_rnglists               21738            0
.debug_line                  261522            0
.debug_str                   140932            0
.debug_frame                  38540            0
Total                       1518220
